#"Progress (%)"	"Step"	"Potential Energy (kJ/mole)"	"Temperature (K)"	"Speed (ns/day)"	"Time Remaining"
19.2%	1925000	-1004932.2968630493	310.07135246489327	36.6	10:35:32
19.3%	1930000	-1003661.515155131	311.2171824672706	36.6	10:35:31
19.4%	1935000	-1005248.3632224798	311.7078581739369	36.5	10:35:33
19.4%	1940000	-1004480.0523342919	311.4275143761903	36.5	10:35:37
19.4%	1945000	-1003446.8019796107	311.25893771043525	36.5	10:35:32
19.5%	1950000	-1005171.4745474765	309.72799723808436	36.5	10:35:30
19.6%	1955000	-1003594.0588171445	309.0446293739339	36.5	10:35:29
19.6%	1960000	-1005009.7133727241	309.5733096825973	36.4	10:35:26
19.6%	1965000	-1002777.1036604866	311.8561763730561	36.4	10:35:24
19.7%	1970000	-1003181.0287406305	310.08452195883666	36.4	10:35:19
19.8%	1975000	-1004572.1281123143	309.8314511447643	36.4	10:35:14
19.8%	1980000	-1003700.3319240548	310.0920388110982	36.4	10:35:09
19.9%	1985000	-1006518.6458639558	311.0329103761388	36.3	10:35:04
19.9%	1990000	-1001947.0885594925	311.1966500468406	36.3	10:34:59
19.9%	1995000	-1007607.23928174	307.8446376477541	36.3	10:34:49
20.0%	2000000	-1004349.2247939426	310.3705379586276	36.3	10:34:38
20.1%	2005000	-1003874.2131235423	310.16961451208164	36.3	10:34:28
20.1%	2010000	-1004273.867158805	309.7836293203734	36.3	10:34:17
20.1%	2015000	-1004478.4030715758	310.6831173545088	36.3	10:34:05
20.2%	2020000	-1004082.0853554681	309.3972077921363	36.3	10:33:56
20.2%	2025000	-1005078.8666558983	308.4622973317601	36.2	10:33:43
20.3%	2030000	-1004993.7125584362	310.7496941979492	36.2	10:33:31
20.4%	2035000	-1003929.1047412409	310.091724754596	36.2	10:33:18
20.4%	2040000	-1004879.3486930616	309.9314330064882	36.2	10:33:07
20.4%	2045000	-1001486.93383699	310.1030771514263	36.2	10:32:53
20.5%	2050000	-1003889.9627766395	311.3819706212662	36.2	10:32:39
20.6%	2055000	-1004063.5746345101	308.204598306042	36.2	10:32:26
20.6%	2060000	-1005244.5984705519	311.86866796434106	36.2	10:32:13
20.6%	2065000	-1003374.3844669098	311.8425493558836	36.2	10:31:59
20.7%	2070000	-1005485.6900312621	311.2139899685911	36.2	10:31:44
20.8%	2075000	-1003684.8289256478	311.1116379128897	36.1	10:31:31
20.8%	2080000	-1003904.7881755689	309.2897864246826	36.1	10:31:19
20.9%	2085000	-1004303.1434042444	312.3825899980033	36.1	10:31:05
20.9%	2090000	-1003590.0152385281	308.10373741663466	36.1	10:30:53
20.9%	2095000	-1007222.337440189	310.99721289384627	36.1	10:30:39
21.0%	2100000	-1004850.8035758194	310.8737581532027	36.1	10:30:27
21.1%	2105000	-1006915.3647528039	312.61452892867015	36.1	10:30:14
21.1%	2110000	-1004304.9967803955	311.926434930691	36.1	10:30:01
21.1%	2115000	-1003980.4696008693	309.16433910810565	36.1	10:29:47
21.2%	2120000	-1005327.2157653263	311.1630329664369	36	10:29:35
21.2%	2125000	-1004389.5100972783	310.83955726062715	36	10:29:24
21.3%	2130000	-1002523.1453152671	310.0858423868357	36	10:29:12
21.4%	2135000	-1003805.9821939925	309.7734021955983	36	10:28:59
21.4%	2140000	-1004093.2962237056	308.09853859772306	36	10:28:44
21.4%	2145000	-1005038.8579367893	310.3361331400726	36	10:28:31
21.5%	2150000	-1005031.5183360707	310.41994475049023	36	10:28:18
21.6%	2155000	-1004233.3142572055	310.1789288205592	36	10:28:06
21.6%	2160000	-1005920.473194642	310.01381863769467	36	10:27:51
21.6%	2165000	-1005361.9223579699	311.77710330390283	36	10:27:15
21.7%	2170000	-1004888.6814453714	311.4081564447199	36	10:27:00
21.8%	2175000	-1004793.5117230061	312.384862366252	36	10:26:46
21.8%	2180000	-1005508.4501407724	309.69028900753926	35.9	10:26:31
21.9%	2185000	-1004003.6655236399	310.5438380565565	35.9	10:26:16
21.9%	2190000	-1005388.6016704245	310.09982285219263	35.9	10:26:01
21.9%	2195000	-1005934.8557581501	311.97421702489163	35.9	10:25:46
22.0%	2200000	-1004409.9428506736	311.06504431288954	35.9	10:25:31
22.1%	2205000	-1003254.7927655643	310.9571394200907	35.9	10:25:16
22.1%	2210000	-1004210.6514364816	310.05155645996535	35.9	10:25:02
22.1%	2215000	-1006763.4505175008	310.84075741588197	35.9	10:24:52
22.2%	2220000	-1006020.9224999892	309.8185960045819	35.9	10:24:37
22.2%	2225000	-1005161.0526569653	309.80274189881874	35.9	10:24:22
22.3%	2230000	-1004350.9265089305	311.8678904257015	35.9	10:24:07
22.4%	2235000	-1004190.783402618	310.42718948992615	35.8	10:23:54
22.4%	2240000	-1004965.6005390612	310.4110031438981	35.8	10:23:37
22.4%	2245000	-1006173.931384311	311.24165666881174	35.8	10:23:01
22.5%	2250000	-1006367.8539693737	309.44576916757313	35.9	10:22:19
22.6%	2255000	-1005984.6799807278	311.5694946176049	35.9	10:21:38
22.6%	2260000	-1005220.2559561171	311.20617365962636	35.9	10:20:58
22.6%	2265000	-1004472.7149364613	310.63920040534657	35.9	10:20:24
22.7%	2270000	-1005005.9187366106	311.9501440509438	35.9	10:19:44
22.8%	2275000	-1004751.0195465926	311.683472590973	35.9	10:19:04
22.8%	2280000	-1004449.5450364416	310.1125689135296	36	10:18:24
22.9%	2285000	-1005160.4895113092	310.86423690635576	36	10:17:47
22.9%	2290000	-1005399.8641324658	309.76992022100535	36	10:17:26
22.9%	2295000	-1004199.6542212693	311.13702221669047	36	10:17:08
23.0%	2300000	-1004331.7438738085	310.3558683611081	36	10:16:42
23.1%	2305000	-1006509.6511925915	310.58336208577356	36	10:16:19
23.1%	2310000	-1005472.4101348547	311.3601735765884	36	10:15:53
23.1%	2315000	-1004673.3833646905	310.8194644463318	36	10:15:25
23.2%	2320000	-1004532.4687483357	309.0583184885307	36	10:14:50
23.2%	2325000	-1006252.686520772	311.60686188841504	36	10:14:20
23.3%	2330000	-1004561.7143546632	311.38278997417245	36	10:14:00
23.4%	2335000	-1004294.3989345506	313.44583099781124	36	10:13:41
23.4%	2340000	-1003215.9006281309	312.00885504898207	36	10:13:22
23.4%	2345000	-1005934.4352529692	308.69161386275385	36	10:12:55
23.5%	2350000	-1003789.3984581456	309.97888645358745	36	10:12:35
23.6%	2355000	-1003481.8071296923	310.5565796758246	36	10:12:20
23.6%	2360000	-1003177.3023764323	309.21387444874404	35.9	10:12:04
23.6%	2365000	-1001986.0889009442	309.9769095929332	35.9	10:11:47
23.7%	2370000	-1003839.9137466475	309.8382596396772	35.9	10:11:31
23.8%	2375000	-1002080.5471252995	310.0643240481199	35.9	10:11:13
23.8%	2380000	-1002550.7427384928	310.7558469969176	35.9	10:10:57
23.9%	2385000	-1005296.3423947562	310.8858093100539	35.9	10:10:41
23.9%	2390000	-1006768.0149621898	309.6887990561464	35.9	10:10:14
23.9%	2395000	-1003233.526710609	310.94860249546906	35.9	10:09:42
24.0%	2400000	-1005595.8545803623	311.7163272372871	35.9	10:09:13
24.1%	2405000	-1003634.2830812726	312.8323035288265	35.9	10:08:52
24.1%	2410000	-1002896.9400093704	311.42715270932456	35.9	10:08:16
24.1%	2415000	-1005009.2734081829	309.77619418652097	35.9	10:07:42
24.2%	2420000	-1003316.6988536846	309.85474566967116	36	10:07:07
24.2%	2425000	-1003826.5573905827	309.79473211267435	36	10:06:39
24.3%	2430000	-1003855.5125025809	311.60466583013624	36	10:06:03
24.4%	2435000	-1006299.402816196	312.0887632791424	36	10:05:43
24.4%	2440000	-1003547.1267442778	309.8145875358747	36	10:05:08
24.4%	2445000	-1003551.1245555049	309.5355969323423	36	10:04:38
24.5%	2450000	-1003829.2503627669	310.16525672345216	36	10:04:06
24.6%	2455000	-1005180.8928548386	308.31235587132085	36	10:03:38
24.6%	2460000	-1003165.2732360642	311.8855927534423	36	10:03:07
24.6%	2465000	-1006304.0015678415	309.3500490861602	36	10:02:53
24.7%	2470000	-1004078.1236746153	310.24418666369525	36	10:02:39
24.8%	2475000	-1004771.7335121036	311.6339123238611	36	10:02:23
24.8%	2480000	-1003133.2641232396	310.35117007498155	36	10:01:56
24.9%	2485000	-1004623.4945042385	311.97557636198474	36	10:01:27
24.9%	2490000	-1003613.5662046801	309.78003857720444	36	10:01:11
24.9%	2495000	-1003268.8483180217	311.1241478091457	36	10:00:50
25.0%	2500000	-1005356.3979679234	310.22624465270997	36	10:00:34
25.1%	2505000	-1003819.9728267426	310.72103580399585	36	10:00:06
25.1%	2510000	-1006261.2389002601	310.0343659400627	36	9:59:29
25.1%	2515000	-1005993.4521100055	310.13485408550724	36	9:59:03
25.2%	2520000	-1004819.9272746053	311.78961677320984	36	9:58:46
25.2%	2525000	-1004449.0608585868	310.4773373443119	36	9:58:31
25.3%	2530000	-1007294.46377273	310.8012356847754	36	9:58:06
25.4%	2535000	-1005321.356394764	310.61695727043275	36	9:57:44
25.4%	2540000	-1005133.6327050319	309.9704531484591	36	9:57:05
25.4%	2545000	-1004814.1862946926	310.41663000335626	36	9:56:41
25.5%	2550000	-1004241.0522829201	310.6707187559396	36	9:56:07
25.6%	2555000	-1003664.2863201294	310.15458313896784	36	9:55:41
25.6%	2560000	-1005127.6804673653	311.53995720348036	36	9:55:27
25.6%	2565000	-1005323.0172283631	311.1594238250756	36	9:55:02
25.7%	2570000	-1004538.6433402868	308.5200636593375	36	9:54:37
25.8%	2575000	-1005798.677787642	309.55318319849664	36	9:54:20
25.8%	2580000	-1003153.5764111262	310.37403058167814	36	9:54:04
25.9%	2585000	-1004257.1115212804	310.3464875766805	36	9:53:49
25.9%	2590000	-1004662.4617152615	309.11050159553736	36	9:53:18
25.9%	2595000	-1003069.9780760268	309.38713650092814	36	9:52:41
26.0%	2600000	-1002737.2251724983	308.5059775048826	36	9:52:03
26.1%	2605000	-1002366.129178456	311.37861712740835	36	9:51:25
26.1%	2610000	-1005975.0534721268	310.764443462514	36	9:50:48
26.1%	2615000	-1005305.3036224432	308.7989010399112	36	9:50:10
26.2%	2620000	-1005557.0430557551	312.1791964631299	36.1	9:49:33
26.2%	2625000	-1005001.7203500913	310.3183597841191	36.1	9:48:55
26.3%	2630000	-1005601.1505174413	309.24696222225134	36.1	9:48:18
26.4%	2635000	-1004605.6528034052	309.8696274104668	36.1	9:47:40
26.4%	2640000	-1005854.4563066717	311.4738434879019	36.1	9:47:03
26.4%	2645000	-1002658.6461781282	310.62528175885234	36.1	9:46:25
26.5%	2650000	-1003194.1558379065	310.9778419159143	36.1	9:45:48
26.6%	2655000	-1006602.7263432639	309.9013008513909	36.1	9:45:11
26.6%	2660000	-1005070.5079333149	311.0274945250854	36.2	9:44:33
26.6%	2665000	-1004935.1324814735	311.66486136151167	36.2	9:43:56
26.7%	2670000	-1005531.6480365079	310.00596173278177	36.2	9:43:20
26.8%	2675000	-1004619.218720017	311.43608921147745	36.2	9:42:43
26.8%	2680000	-1005166.8679542681	310.8414110991506	36.2	9:42:06
26.9%	2685000	-1004846.8193228636	311.79977103886074	36.2	9:41:30
26.9%	2690000	-1003025.2295234296	310.4782556526468	36.2	9:40:54
26.9%	2695000	-1006087.2103461232	308.6256845787034	36.3	9:40:17
27.0%	2700000	-1005117.2550357087	310.44833752828333	36.3	9:39:41
27.1%	2705000	-1003738.7030857094	310.53170630554786	36.3	9:39:05
27.1%	2710000	-1003988.8831739947	310.8206894196679	36.3	9:38:29
27.1%	2715000	-1003721.1258065784	310.31811134746766	36.3	9:37:53
27.2%	2720000	-1004491.8028585594	311.4798549169946	36.3	9:37:18
27.2%	2725000	-1004632.4870376373	313.237216573326	36.3	9:36:43
27.3%	2730000	-1003174.352294636	310.04031340805176	36.3	9:36:08
27.4%	2735000	-1003931.4031602899	310.3621372940784	36.4	9:35:33
27.4%	2740000	-1005654.9603899037	310.5680088940759	36.4	9:34:57
27.4%	2745000	-1002897.8557468513	310.0736902634432	36.4	9:34:22
27.5%	2750000	-1005180.0966327507	309.4558543960735	36.4	9:33:46
27.6%	2755000	-1005547.5614092201	313.09422238176825	36.4	9:33:11
27.6%	2760000	-1004095.880282416	312.01986249118744	36.4	9:32:36
27.6%	2765000	-1005055.1544420887	310.49036273949133	36.4	9:32:01
27.7%	2770000	-1005145.7474223012	310.96251135406936	36.4	9:31:26
27.8%	2775000	-1004545.3670922788	311.81411892050915	36.4	9:30:51
27.8%	2780000	-1004538.198016448	312.2053991843705	36.5	9:30:17
27.9%	2785000	-1003629.4904351439	311.7209552322175	36.5	9:29:42
27.9%	2790000	-1003243.334485352	307.13242777047543	36.5	9:29:07
27.9%	2795000	-1005019.0163858049	309.7853946503729	36.5	9:28:33
28.0%	2800000	-1006852.2439040551	310.4754511299489	36.5	9:27:59
28.1%	2805000	-1005498.1377197308	309.6213753402738	36.5	9:27:25
28.1%	2810000	-1005248.8158004852	310.157740374454	36.5	9:26:50
28.1%	2815000	-1007011.5386117427	311.32667245092887	36.5	9:26:17
28.2%	2820000	-1005146.9940293068	311.32093186236614	36.6	9:25:42
28.2%	2825000	-1003261.147035284	310.20280830608675	36.6	9:25:07
28.3%	2830000	-1005262.0383249549	309.19548492814585	36.6	9:24:33
28.4%	2835000	-1005864.7708567465	309.69242781206793	36.6	9:23:59
28.4%	2840000	-1005494.7602581419	309.08871373962796	36.6	9:23:31
28.4%	2845000	-1004086.5451576924	310.73060411820444	36.6	9:23:09
28.5%	2850000	-1004999.131829245	310.2692927422344	36.6	9:22:57
28.6%	2855000	-1004821.4973710822	310.37239836579823	36.6	9:22:47
28.6%	2860000	-1006237.4699580343	310.05197883648714	36.5	9:22:36
28.6%	2865000	-1006023.2886693384	308.45979223829795	36.5	9:22:25
28.7%	2870000	-1004274.9186817463	308.9586664312593	36.5	9:22:11
28.8%	2875000	-1003433.4174855994	310.62433065281954	36.5	9:21:57
28.8%	2880000	-1004522.587700339	309.8790304825571	36.5	9:21:46
28.9%	2885000	-1005458.8506418467	310.4141024381964	36.5	9:21:35
28.9%	2890000	-1002646.5311594261	310.10030609138454	36.5	9:21:19
28.9%	2895000	-1004211.9086011639	310.73327188876243	36.5	9:21:06
29.0%	2900000	-1005691.9660999086	310.4388802728377	36.5	9:20:49
29.1%	2905000	-1005849.0219849721	310.06691895897046	36.5	9:20:34
29.1%	2910000	-1004570.9339966513	309.16601044280503	36.4	9:20:17
29.1%	2915000	-1002992.8614716465	309.45668568128326	36.4	9:20:03
29.2%	2920000	-1004947.3574243067	308.3527499931153	36.4	9:19:44
29.2%	2925000	-1004557.6201604931	312.24574439350573	36.4	9:19:21
29.3%	2930000	-1005653.8399897907	310.18848826361227	36.4	9:19:00
29.4%	2935000	-1004515.675411839	309.85585023754356	36.4	9:18:40
29.4%	2940000	-1004430.3145154323	311.5744279532151	36.4	9:18:25
29.4%	2945000	-1005072.92408936	309.677137427113	36.4	9:18:10
29.5%	2950000	-1004206.3006224902	310.5350218569605	36.4	9:17:56
29.6%	2955000	-1004710.0480239913	313.1025614738315	36.4	9:17:35
29.6%	2960000	-1004974.5771801472	309.44058698385874	36.4	9:17:18
29.6%	2965000	-1003322.6386768259	310.3740548462461	36.4	9:17:02
29.7%	2970000	-1005327.7673244542	309.9275939692153	36.4	9:16:44
29.8%	2975000	-1004730.2000265224	309.57393282293503	36.4	9:16:19
29.8%	2980000	-1005002.8350680694	311.67282435393497	36.4	9:16:03
29.9%	2985000	-1002524.5180419944	310.7156569658371	36.4	9:15:46
29.9%	2990000	-1004691.2173332386	308.93441105454684	36.4	9:15:19
29.9%	2995000	-1004718.9095008606	311.5236607133543	36.4	9:14:51
30.0%	3000000	-1005056.4554021386	312.1038591374901	36.4	9:14:32
30.1%	3005000	-1004358.2739861952	310.12102147147675	36.3	9:14:15
30.1%	3010000	-1004998.1055931784	312.3483898290821	36.3	9:13:55
30.1%	3015000	-1002652.7769704759	312.59356429483904	36.3	9:13:37
30.2%	3020000	-1003079.3424629429	310.6105137348999	36.3	9:13:20
30.2%	3025000	-1004472.6895982306	312.7642091728104	36.3	9:12:58
30.3%	3030000	-1003739.5038648574	309.2899420078459	36.3	9:12:24
30.4%	3035000	-1007158.0711786617	310.76391390215827	36.3	9:11:51
30.4%	3040000	-1002286.4113683272	308.74874279629495	36.4	9:11:17
30.4%	3045000	-1004325.556295489	310.27876458610405	36.4	9:10:43
30.5%	3050000	-1004059.4995521968	310.158629368659	36.4	9:10:10
30.6%	3055000	-1004623.1147831734	310.4528966010274	36.4	9:09:50
30.6%	3060000	-1003838.0353584271	308.67651908717005	36.4	9:09:38
30.6%	3065000	-1004709.0984729193	309.70824318704285	36.4	9:09:26
30.7%	3070000	-1004424.0291422065	309.9342248516737	36.3	9:09:13
30.8%	3075000	-1004373.26785741	308.1418749261454	36.3	9:09:00
30.8%	3080000	-1004267.0308856824	310.96435694238954	36.3	9:08:46
30.9%	3085000	-1005557.8374275537	309.60292218446455	36.3	9:08:32
30.9%	3090000	-1002641.0210181763	311.87230274514116	36.3	9:08:18
30.9%	3095000	-1001703.4534903998	309.88449027505703	36.3	9:08:03
31.0%	3100000	-1004598.3099377109	308.67307543951426	36.3	9:07:48
31.1%	3105000	-1004345.3892371682	312.8856319101136	36.3	9:07:33
31.1%	3110000	-1003577.7439643536	309.56267411104596	36.3	9:07:19
31.1%	3115000	-1004364.3090718677	309.4559407391424	36.2	9:07:05
31.2%	3120000	-1005292.5149615826	310.38569923114017	36.2	9:06:51
31.2%	3125000	-1005445.4671952287	310.84410393120237	36.2	9:06:36
31.3%	3130000	-1004608.1393775176	311.23456296800487	36.2	9:06:19
31.4%	3135000	-1003781.295114141	311.80623476757603	36.2	9:06:02
31.4%	3140000	-1002981.6702006515	308.17789963887407	36.2	9:05:44
31.4%	3145000	-1003902.3693213016	309.7740306758563	36.2	9:05:27
31.5%	3150000	-1004246.5051819719	310.37292917684664	36.2	9:05:11
31.6%	3155000	-1004325.154236326	310.25737433476235	36.2	9:04:56
31.6%	3160000	-1001265.9249994708	308.26318468169245	36.2	9:04:41
31.6%	3165000	-1005874.0051725954	308.4655302456494	36.2	9:04:26
31.7%	3170000	-1003764.0565834008	310.09475152067074	36.1	9:04:11
31.8%	3175000	-1002741.5697916187	307.8523220413939	36.1	9:03:57
31.8%	3180000	-1003694.2363320589	309.6633481706303	36.1	9:03:41
31.9%	3185000	-1003305.5989619466	308.8734339512005	36.1	9:03:25
31.9%	3190000	-1005623.4108696291	310.98851868481813	36.1	9:03:09
31.9%	3195000	-1003157.4955380401	309.4824893906512	36.1	9:02:51
32.0%	3200000	-1006198.1372189168	310.1482432061158	36.1	9:02:35
32.0%	3205000	-1006467.7684815526	311.56230957593107	36.1	9:02:19
32.1%	3210000	-1005444.4623825559	309.6409642811598	36.1	9:02:03
32.1%	3215000	-1003414.5089459531	310.25364110021235	36.1	9:01:47
32.2%	3220000	-1005777.8750651637	310.3879789058895	36.1	9:01:32
32.2%	3225000	-1004317.9151635189	308.53827793255454	36	9:01:16
32.3%	3230000	-1005503.0599289201	311.0733056871152	36	9:01:00
32.4%	3235000	-1004450.9141730266	309.1311819406347	36	9:00:44
32.4%	3240000	-1004341.4277585931	310.51276971716317	36	9:00:31
32.5%	3245000	-1005436.2975781346	311.902663531054	36	9:00:18
32.5%	3250000	-1004196.9435010199	310.140319086949	36	9:00:06
32.5%	3255000	-1004699.5305039063	309.3410557598061	36	8:59:53
32.6%	3260000	-1005433.5971511379	312.4675528680489	36	8:59:40
32.6%	3265000	-1003024.8894233732	310.5397539969233	36	8:59:28
32.7%	3270000	-1002594.541636155	308.5430232514041	35.9	8:59:14
32.8%	3275000	-1003480.160274961	309.97322055677046	35.9	8:59:01
32.8%	3280000	-1005835.4753751606	308.4028200217783	35.9	8:58:42
32.9%	3285000	-1005909.2615621891	310.5926178895419	35.9	8:58:28
32.9%	3290000	-1003142.4643803509	310.7661881604385	35.9	8:58:14
33.0%	3295000	-1005780.5808164058	310.4945207854754	35.9	8:58:00
33.0%	3300000	-1002621.5327057214	308.4672721339351	35.9	8:57:47
33.0%	3305000	-1004305.5950890454	311.3267284890397	35.9	8:57:33
33.1%	3310000	-1003225.3699528091	309.14402379661703	35.9	8:57:20
33.1%	3315000	-1005594.8273771117	311.2520096427273	35.8	8:57:07
33.2%	3320000	-1003547.3499274245	309.67140815133234	35.8	8:56:54
33.2%	3325000	-1006023.9423467806	311.7081954250274	35.8	8:56:40
33.3%	3330000	-1005347.4306559842	309.2284044828498	35.8	8:56:26
33.4%	3335000	-1004504.9312765999	310.8032680106016	35.8	8:56:12
33.4%	3340000	-1003706.1213897085	309.8177517803987	35.8	8:55:58
33.5%	3345000	-1003341.3813898936	309.202208032469	35.8	8:55:41
33.5%	3350000	-1004603.9909835514	310.24435569319525	35.8	8:55:22
33.5%	3355000	-1003927.3987839958	311.3835585690385	35.8	8:55:03
33.6%	3360000	-1004915.5578532917	313.2127392140911	35.8	8:54:46
33.6%	3365000	-1005699.2698007282	309.9376949864402	35.7	8:54:31
33.7%	3370000	-1003398.9246346047	309.6589966580635	35.7	8:54:17
33.8%	3375000	-1005203.6916213743	312.0234688147434	35.7	8:54:02
33.8%	3380000	-1004170.0460466184	311.3808938496601	35.7	8:53:43
33.9%	3385000	-1004661.7583381264	310.38009541693214	35.7	8:53:29
33.9%	3390000	-1003343.3520910311	313.30264217581913	35.7	8:53:15
34.0%	3395000	-1005366.046287261	310.0246214562933	35.7	8:53:01
34.0%	3400000	-1004784.8835765142	313.23710224463974	35.7	8:52:46
34.0%	3405000	-1006086.768397063	312.3316695654996	35.7	8:52:27
34.1%	3410000	-1004056.2808935139	308.4038674377547	35.7	8:52:08
34.1%	3415000	-1004298.1041301815	310.6276522469469	35.7	8:51:47
34.2%	3420000	-1004508.9688621173	310.72146625378787	35.7	8:51:27
34.2%	3425000	-1002753.2512505669	310.7558646100912	35.7	8:51:09
34.3%	3430000	-1005141.2211857727	309.51257120340233	35.6	8:50:49
34.4%	3435000	-1005428.5759100895	310.57590589710713	35.6	8:50:30
34.4%	3440000	-1005853.3493694598	310.1513161982996	35.6	8:50:08
34.5%	3445000	-1003775.9434336973	311.08032704770915	35.6	8:49:46
34.5%	3450000	-1004621.5149475439	308.2646331613171	35.6	8:49:27
34.5%	3455000	-1005242.8107804563	312.626480336303	35.6	8:49:07
34.6%	3460000	-1004435.3990079695	310.8276356332755	35.6	8:48:46
34.6%	3465000	-1005886.4699806683	311.0433041159602	35.6	8:48:25
34.7%	3470000	-1003341.6101002004	310.2076830224142	35.6	8:48:04
34.8%	3475000	-1004601.4858247628	310.7203827712216	35.6	8:47:44
34.8%	3480000	-1005407.2085079681	309.80675234745996	35.6	8:47:25
34.9%	3485000	-1005104.8122375533	310.4019453158985	35.6	8:47:04
34.9%	3490000	-1002399.1153790215	309.41021813926426	35.6	8:46:42
35.0%	3495000	-1004556.1239643767	310.37345275758724	35.6	8:46:21
35.0%	3500000	-1005004.362510114	312.0650358295547	35.6	8:46:00
35.0%	3505000	-1006003.35024451	311.7373914460741	35.6	8:45:39
35.1%	3510000	-1003074.0300472314	311.33517316232445	35.6	8:45:21
35.1%	3515000	-1004008.0724730687	311.5312757351562	35.6	8:45:00
35.2%	3520000	-1005124.5067421515	311.5029172524775	35.6	8:44:38
35.2%	3525000	-1005679.0253606532	308.90088622828483	35.6	8:44:16
35.3%	3530000	-1003684.4062276995	309.8151604722736	35.6	8:43:55
35.4%	3535000	-1004602.4415732054	310.799978982746	35.6	8:43:33
35.4%	3540000	-1005554.530156754	309.41815863098316	35.6	8:43:12
35.5%	3545000	-1003662.8366710171	310.8358607933878	35.6	8:42:53
35.5%	3550000	-1004828.3008767338	311.3131729432829	35.6	8:42:31
35.5%	3555000	-1003838.4467973588	310.9629646921149	35.5	8:42:09
35.6%	3560000	-1004011.6981275352	309.38002702807796	35.5	8:41:49
35.6%	3565000	-1005038.3790437188	313.2147730279424	35.5	8:41:27
35.7%	3570000	-1004055.7333539221	310.30307198820896	35.5	8:41:06
35.8%	3575000	-1003848.268989441	311.52957519764135	35.5	8:40:44
35.8%	3580000	-1003770.9973225594	311.96343357243626	35.5	8:40:22
35.9%	3585000	-1004894.3126974236	309.49657232600225	35.5	8:40:03
35.9%	3590000	-1002308.8814817909	308.9160105622746	35.5	8:39:40
36.0%	3595000	-1004467.0808694679	309.7182307228957	35.5	8:39:19
36.0%	3600000	-1004242.465668126	310.4325152811678	35.5	8:38:59
36.0%	3605000	-1003090.5987407621	309.1458161004123	35.5	8:38:39
36.1%	3610000	-1005265.3043040652	311.2113180714363	35.5	8:38:19
36.1%	3615000	-1004790.1162386583	309.8748032399697	35.5	8:38:00
36.2%	3620000	-1004753.274378336	310.97610727025	35.5	8:37:40
36.2%	3625000	-1004331.2666476555	310.49513573090366	35.5	8:37:20
36.3%	3630000	-1003221.1610742323	310.3840532274374	35.5	8:37:01
36.4%	3635000	-1004511.4719289932	310.6587045715403	35.5	8:36:40
36.4%	3640000	-1006253.4867609637	311.2822292025003	35.5	8:36:21
36.5%	3645000	-1003851.9052100815	307.82610976136107	35.5	8:36:01
36.5%	3650000	-1005416.6542588416	310.5867257402642	35.5	8:35:44
36.5%	3655000	-1005369.3893999513	309.6065251410656	35.5	8:35:24
36.6%	3660000	-1003209.4955649879	309.6792576822447	35.4	8:35:04
36.6%	3665000	-1002182.9078939846	312.3024448795652	35.4	8:34:43
36.7%	3670000	-1004774.1514207879	310.70918240717117	35.4	8:34:23
36.8%	3675000	-1005399.4727021232	310.3131121389018	35.4	8:34:04
36.8%	3680000	-1004051.095668965	309.83341593652426	35.4	8:33:43
36.9%	3685000	-1004255.4107822888	310.0630663691733	35.4	8:33:24
36.9%	3690000	-1003386.4629288716	311.065394504917	35.4	8:33:04
37.0%	3695000	-1003355.555043486	308.7180824595989	35.4	8:32:43
37.0%	3700000	-1006031.4023745619	310.52766456944715	35.4	8:32:22
37.0%	3705000	-1004471.9834926948	310.7544505675326	35.4	8:32:01
37.1%	3710000	-1005080.9834973766	310.73962212541176	35.4	8:31:40
37.1%	3715000	-1003639.3075006576	309.1980905895154	35.4	8:31:19
37.2%	3720000	-1004523.3052887544	311.7429793028901	35.4	8:30:59
37.2%	3725000	-1005063.5580864372	311.9806626250965	35.4	8:30:38
37.3%	3730000	-1003182.1870581144	310.0652080379987	35.4	8:30:18
37.4%	3735000	-1005357.7477886425	308.36103090808655	35.4	8:29:57
37.4%	3740000	-1006233.5612661121	309.82276483512425	35.4	8:29:36
37.5%	3745000	-1005946.8334988514	311.2652201945739	35.4	8:29:16
37.5%	3750000	-1005597.2810063092	309.8516811663821	35.4	8:28:56
37.5%	3755000	-1002840.9538736846	309.7924476971054	35.4	8:28:35
37.6%	3760000	-1004898.4419478048	309.26820651886584	35.4	8:28:15
37.6%	3765000	-1003986.2522293935	308.97775657165755	35.4	8:27:53
37.7%	3770000	-1004415.8778324872	311.6059729589784	35.4	8:27:32
37.8%	3775000	-1003655.1460784879	311.8987730513794	35.3	8:27:11
37.8%	3780000	-1004920.2375990059	310.527951310505	35.3	8:26:46
37.9%	3785000	-1002648.5279968334	310.5735587186692	35.4	8:26:11
37.9%	3790000	-1004122.0117343692	309.8700039866657	35.4	8:25:36
38.0%	3795000	-1005457.6649738401	309.98385964230306	35.4	8:25:01
38.0%	3800000	-1003247.0716617573	310.3780232676865	35.4	8:24:26
38.0%	3805000	-1004223.6534919962	310.88129736568914	35.4	8:23:51
38.1%	3810000	-1004062.3288503429	311.0067200684124	35.4	8:23:17
38.1%	3815000	-1002447.5672303019	311.1949500098932	35.4	8:22:43
38.2%	3820000	-1004365.369036682	310.29822860031265	35.4	8:22:09
38.2%	3825000	-1005763.095704549	311.78526433561206	35.5	8:21:35
38.3%	3830000	-1005157.6467321841	309.53350915818453	35.5	8:21:01
